variant,aligned_frame,python_frame,sample_kind,matlab_alpha_deg,saved_python_raw_alpha_deg,raw_alpha_deg,alpha_error_deg,abs_alpha_error_deg,nearest_peak_alpha_deg,nearest_peak_error_deg,top_peak_alpha_deg,top_peak_error_deg,n_candidates,candidate_hit_1deg,candidate_hit_2deg,candidate_present_but_weighted_median_wrong,emask_source,emask_density,fas_thres_density,fascicle_masked_density
matlab_literal__matlab,1575,1576,control,20.5,21.5,21.5,1.0,1.0,20.5,0.0,21.5,1.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.22162602199752,0.06065448166705312
matlab_literal__dynamic,1575,1576,control,20.5,21.5,20.5,0.0,0.0,20.5,0.0,21.5,1.0,10,True,True,False,dynamic,0.38139284022058006,0.22162602199752,0.07228080610526952
line_mask__matlab,1575,1576,control,20.5,21.5,21.5,1.0,1.0,20.5,0.0,21.5,1.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.21457411309265775,0.06065448166705312
line_mask__dynamic,1575,1576,control,20.5,21.5,20.5,0.0,0.0,20.5,0.0,21.5,1.0,10,True,True,False,dynamic,0.38139284022058006,0.21457411309265775,0.07154486707731392
matlab_literal__matlab,1730,1731,control,34.0,34.5,34.5,0.5,0.5,34.5,0.5,36.0,2.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.18357142137045962,0.054797213513050315
matlab_literal__dynamic,1730,1731,control,34.0,34.5,32.5,-1.5,1.5,33.5,0.5,33.5,-0.5,10,True,True,False,dynamic,0.3632463984353735,0.18357142137045962,0.06299839706430897
line_mask__matlab,1730,1731,control,34.0,34.5,34.5,0.5,0.5,34.5,0.5,36.0,2.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.1765220328047342,0.054797213513050315
line_mask__dynamic,1730,1731,control,34.0,34.5,32.5,-1.5,1.5,33.5,0.5,33.5,-0.5,10,True,True,False,dynamic,0.3632463984353735,0.1765220328047342,0.06245904448902644
matlab_literal__matlab,1885,1886,control,20.0,21.5,21.5,1.5,1.5,20.0,0.0,19.5,-0.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.22773028338693255,0.06326051233453973
matlab_literal__dynamic,1885,1886,control,20.0,21.5,20.0,0.0,0.0,20.0,0.0,19.0,-1.0,10,True,True,False,dynamic,0.38426098615829746,0.22773028338693255,0.07552196223523837
line_mask__matlab,1885,1886,control,20.0,21.5,21.5,1.5,1.5,20.0,0.0,19.5,-0.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.2202373151331243,0.06326051233453973
line_mask__dynamic,1885,1886,control,20.0,21.5,20.0,0.0,0.0,20.0,0.0,19.0,-1.0,10,True,True,False,dynamic,0.38426098615829746,0.2202373151331243,0.07489691812930348
matlab_literal__matlab,2040,2041,control,32.5,32.0,32.0,-0.5,0.5,32.5,0.0,32.5,0.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.19008397770003932,0.0556642101761213
matlab_literal__dynamic,2040,2041,control,32.5,32.0,31.5,-1.0,1.0,32.5,0.0,32.5,0.0,10,True,True,False,dynamic,0.3632463984353735,0.19008397770003932,0.06516840906112327
line_mask__matlab,2040,2041,control,32.5,32.0,32.0,-0.5,0.5,32.5,0.0,32.5,0.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.1826288145332836,0.0556642101761213
line_mask__dynamic,2040,2041,control,32.5,32.0,31.5,-1.0,1.0,32.5,0.0,32.5,0.0,10,True,True,False,dynamic,0.3632463984353735,0.1826288145332836,0.06464417852066175
matlab_literal__matlab,2195,2196,control,26.0,27.0,27.0,1.0,1.0,25.5,0.5,27.0,1.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.21182190275523474,0.056611857691570976
matlab_literal__dynamic,2195,2196,control,26.0,27.0,25.5,-0.5,0.5,26.5,0.5,26.5,0.5,10,True,True,False,dynamic,0.37446694827255955,0.21182190275523474,0.06765346345004183
line_mask__matlab,2195,2196,control,26.0,27.0,27.0,1.0,1.0,25.5,0.5,27.0,1.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.2050724345467926,0.056611857691570976
line_mask__dynamic,2195,2196,control,26.0,27.0,25.5,-0.5,0.5,26.5,0.5,26.5,0.5,10,True,True,False,dynamic,0.37446694827255955,0.2050724345467926,0.06678394644783402
matlab_literal__matlab,2215,2216,control,17.5,30.0,30.0,12.5,12.5,17.5,0.0,30.0,12.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.1978541832588993,0.05774601030314639
matlab_literal__dynamic,2215,2216,control,17.5,30.0,29.5,12.0,12.0,17.5,0.0,31.5,14.0,10,True,True,True,dynamic,0.36886171403224016,0.1978541832588993,0.06689736170899156
line_mask__matlab,2215,2216,control,17.5,30.0,30.0,12.5,12.5,17.5,0.0,30.0,12.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.19147772524270865,0.05774601030314639
line_mask__dynamic,2215,2216,control,17.5,30.0,29.5,12.0,12.0,17.5,0.0,31.5,14.0,10,True,True,True,dynamic,0.36886171403224016,0.19147772524270865,0.06661760406480297
matlab_literal__matlab,2351,2352,control,22.5,24.5,24.5,2.0,2.0,23.0,0.5,24.5,2.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.21417589950903793,0.057657798433357194
matlab_literal__dynamic,2351,2352,control,22.5,24.5,24.5,2.0,2.0,23.0,0.5,24.5,2.0,10,True,True,False,dynamic,0.3786053451352414,0.21417589950903793,0.06949835169820451
line_mask__matlab,2351,2352,control,22.5,24.5,24.5,2.0,2.0,23.0,0.5,24.5,2.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.2073079753611646,0.057657798433357194
line_mask__dynamic,2351,2352,control,22.5,24.5,24.5,2.0,2.0,23.0,0.5,24.5,2.0,10,True,True,False,dynamic,0.3786053451352414,0.2073079753611646,0.06867672113959654
matlab_literal__matlab,2506,2507,control,31.0,35.0,35.0,4.0,4.0,31.0,0.0,12.0,-19.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.18064530763259504,0.054298186363957134
matlab_literal__dynamic,2506,2507,control,31.0,35.0,31.0,0.0,0.0,31.0,0.0,11.5,-19.5,10,True,True,False,dynamic,0.3646174629258113,0.18064530763259504,0.062345629227868904
line_mask__matlab,2506,2507,control,31.0,35.0,35.0,4.0,4.0,31.0,0.0,12.0,-19.0,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.17381014789350055,0.054298186363957134
line_mask__dynamic,2506,2507,control,31.0,35.0,31.0,0.0,0.0,31.0,0.0,11.5,-19.5,10,True,True,False,dynamic,0.3646174629258113,0.17381014789350055,0.061813837669996874
matlab_literal__matlab,2520,2521,control,25.0,37.0,37.0,12.0,12.0,24.5,0.5,38.0,13.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.17750496506809957,0.05274817779480407
matlab_literal__dynamic,2520,2521,control,25.0,37.0,35.5,10.5,10.5,29.0,4.0,35.5,10.5,10,False,False,False,dynamic,0.361870293266662,0.17750496506809957,0.06136773764277721
line_mask__matlab,2520,2521,control,25.0,37.0,37.0,12.0,12.0,24.5,0.5,38.0,13.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.17038752734567963,0.05274817779480407
line_mask__dynamic,2520,2521,control,25.0,37.0,35.5,10.5,10.5,29.0,4.0,35.5,10.5,10,False,False,False,dynamic,0.361870293266662,0.17038752734567963,0.06112830542477796
matlab_literal__matlab,2552,2553,control,20.5,33.5,33.5,13.0,13.0,20.5,0.0,36.5,16.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18470809432117186,0.055455022027764055
matlab_literal__dynamic,2552,2553,control,20.5,33.5,20.5,0.0,0.0,20.5,0.0,18.5,-2.0,10,True,True,False,dynamic,0.3646174629258113,0.18470809432117186,0.06438710392870464
line_mask__matlab,2552,2553,control,20.5,33.5,33.5,13.0,13.0,20.5,0.0,36.5,16.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.17831399393102335,0.055455022027764055
line_mask__dynamic,2552,2553,control,20.5,33.5,20.5,0.0,0.0,20.5,0.0,18.5,-2.0,10,True,True,False,dynamic,0.3646174629258113,0.17831399393102335,0.06423336324135775
matlab_literal__matlab,2553,2554,control,20.5,34.0,34.0,13.5,13.5,20.5,0.0,34.0,13.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18613964695089372,0.055835593237426026
matlab_literal__dynamic,2553,2554,control,20.5,34.0,18.5,-2.0,2.0,18.5,2.0,18.5,-2.0,10,False,True,False,dynamic,0.3646174629258113,0.18613964695089372,0.06467442259030375
line_mask__matlab,2553,2554,control,20.5,34.0,34.0,13.5,13.5,20.5,0.0,34.0,13.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.17957164316030366,0.055835593237426026
line_mask__dynamic,2553,2554,control,20.5,34.0,18.5,-2.0,2.0,18.5,2.0,18.5,-2.0,10,False,True,False,dynamic,0.3646174629258113,0.17957164316030366,0.06455344631173571
matlab_literal__matlab,2581,2582,control,29.5,17.5,17.5,-12.0,12.0,31.0,1.5,31.0,1.5,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.19434587118042604,0.054691359269303276
matlab_literal__dynamic,2581,2582,control,29.5,17.5,26.5,-3.0,3.0,29.5,0.0,31.0,1.5,10,True,True,False,dynamic,0.3632463984353735,0.19434587118042604,0.06541792263566985
line_mask__matlab,2581,2582,control,29.5,17.5,17.5,-12.0,12.0,31.0,1.5,31.0,1.5,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.18634127408184045,0.054691359269303276
line_mask__dynamic,2581,2582,control,29.5,17.5,19.0,-10.5,10.5,29.5,0.0,31.0,1.5,10,True,True,True,dynamic,0.3632463984353735,0.18634127408184045,0.06488361073866099
matlab_literal__matlab,2665,2666,control,20.5,21.5,21.5,1.0,1.0,20.5,0.0,19.0,-1.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.22863508513705605,0.06260018348068916
matlab_literal__dynamic,2665,2666,control,20.5,21.5,20.5,0.0,0.0,20.5,0.0,19.0,-1.5,10,True,True,False,dynamic,0.38426098615829746,0.22863508513705605,0.07464992489389372
line_mask__matlab,2665,2666,control,20.5,21.5,21.5,1.0,1.0,20.5,0.0,19.0,-1.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.22163106267579366,0.06260018348068916
line_mask__dynamic,2665,2666,control,20.5,21.5,20.5,0.0,0.0,20.5,0.0,19.0,-1.5,10,True,True,False,dynamic,0.38426098615829746,0.22163106267579366,0.07400471807486415
